,Hardware,Name,Price,SKU,Info,Image
0,CPU,Core i7-9700K Coffee Lake 3.6GHz Eight-Core LGA 1151 Boxed Processor,199.99,831438,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512484_831438_01_front_thumbnail.jpg
1,CPU,Core i9-9900K Coffee Lake 3.6GHz Eight-Core LGA 1151 Boxed Processor,299.99,831362,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512483_831362_01_front_thumbnail.jpg
2,CPU,Core i7-10700K Comet Lake 3.8GHz Eight-Core LGA 1200 Boxed Processor,349.99,105015,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623048_105015_01_front_thumbnail.jpg
3,CPU,Core i9-10900K Comet Lake 3.7GHz Ten-Core LGA 1200 Boxed Processor,579.99,105023,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/622892_105023_01_front_thumbnail.jpg
4,CPU,Core i5-10400 Comet Lake 2.9GHz Six-Core LGA 1200 Boxed Processor,159.99,105007,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/622904_105007_01_front_thumbnail.jpg
5,CPU,Core i9-10850K Comet Lake 3.6GHz Ten-Core LGA 1200 Boxed Processor,429.99,152066,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/626745_152066_01_front_thumbnail.jpg
6,CPU,Core i5-9600K Coffee Lake 3.7GHz Six-Core LGA 1151 Boxed Processor,169.99,831370,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/512485_831370_01_front_thumbnail.jpg
7,CPU,Core i3-9100F Coffee Lake 3.6GHz Quad-Core LGA 1151 Boxed Processor,79.99,961276,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/606587_961276_01_front_thumbnail.jpg
8,CPU,Core i3-10100 Comet Lake 3.6GHz Quad-Core LGA 1200 Boxed Processor,99.99,104984,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/622905_104984_01_front_thumbnail.jpg
9,CPU,Core i7-9700F Coffee Lake 3.0 GHz LGA 1151 Boxed Processor,189.99,063990,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0617976_063990.jpg
10,CPU,Core i5-10600K Comet Lake 4.1GHz Six-Core LGA 1200 Boxed Processor,269.99,105031,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/622907_105031_01_front_thumbnail.jpg
11,CPU,Core i5-9400 Coffee Lake 2.9GHz Six-Core LGA 1151 Boxed Processor,149.99,907964,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/602029_907964_01_front_thumbnail.jpg
12,CPU,Core i7-10700 Comet Lake 2.9GHz Eight-Core LGA 1200 Boxed Processor,319.99,108613,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623439_108613_01_front_thumbnail.jpg
13,CPU,Core i9-9900 Coffee Lake 3.1GHz Eight-Core LGA 1151 Boxed Processor,289.99,921122,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/605414_921122_01_front_thumbnail.jpg
14,CPU,Core i9-10900 Comet Lake 2.8GHz Ten-Core LGA 1200 Boxed Processor,419.99,108639,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623438_108639_01_front_thumbnail.jpg
15,CPU,Pentium Gold G5400 Coffee Lake 3.7GHz Dual-Core LGA 1151 Boxed Processor,49.99,783878,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/508541_783878_01_front_thumbnail.jpg
16,CPU,Core i9-10900X Cascade Lake 3.7GHz Ten-Core LGA 2066 Boxed Processor,549.99,068759,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618409_068759_01_front_thumbnail.jpg
17,CPU,Core i9-10980XE Cascade Lake 3.0 GHz LGA 2066 Boxed Processor,809.99,068783,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618406_068783_01_front_thumbnail.jpg
18,CPU,Core i9-10940X Cascade Lake 3.3GHz LGA 2066 Boxed Processor,769.99,068775,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618407_068775_01_front_thumbnail.jpg
19,CPU,Core i9-10920X Cascade Lake 3.5 GHz LGA 2066 Boxed Processor,649.99,068767,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618408_068767_01_front_thumbnail.jpg
